Total;Oct;Nov.;INTERNO;INTERNO;TERMINAL;21-oct;22-oct;23-oct;24-oct;25-oct;26-oct;27-oct;28-oct;29-oct;30-oct;31-oct;01-nov;02-nov;03-nov;04-nov;05-nov;06-nov;07-nov;08-nov;09-nov;10-nov;11-nov;12-nov;13-nov;14-nov;15-nov;16-nov;17-nov;18-nov;19-nov;20-nov;21-nov;22-nov;23-nov;24-nov;25-nov;26-nov
2;1;1;5006;SHCX60;PIE ANDINO;FULL;;;;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;FULL;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;
1;0;1;5007;SHCY42;PIE ANDINO;;;;;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;;EXTERNO/EXPRESS;BARRIDO/MOPA;FULL;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;
2;1;1;5009;SHCY60;PIE ANDINO;FULL;;;;;;;;;;;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;EXTERNO/EXPRESS;FULL;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;
2;1;1;5010;SHXD57;PIE ANDINO;;FULL;;;;;;;;;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;FULL;BARRIDO/MOPA;;BARRIDO/MOPA;
2;2;0;5011;SHXF18;PIE ANDINO;FULL;FULL;;;;;;;;;;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;EXTERNO/EXPRESS;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;
1;0;1;5012;SHXF36;PIE ANDINO;;;;;;;;;;;;BARRIDO/MOPA;;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;BARRIDO/MOPA;FULL;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;
1;1;0;5013;SHXF39;PIE ANDINO;;FULL;;;;;;;;;;BARRIDO/MOPA;;;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;
2;1;1;5014;SHXF40;PIE ANDINO;FULL;;;;;;;;;;;;;;;EXTERNO/EXPRESS;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;BARRIDO/MOPA;FULL;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;;EXTERNO/EXPRESS;
1;1;0;5015;SHXG86;PIE ANDINO;;FULL;;;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;BARRIDO/MOPA;
1;0;1;5016;SHCY61;PIE ANDINO;;;;;;;;;;;;EXTERNO/EXPRESS;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;FULL;;
1;0;1;5017;SHCY63;PIE ANDINO;;;;;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;BARRIDO/MOPA;FULL;
3;2;1;5018;SHXD82;PIE ANDINO;FULL;FULL;;;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;FULL;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;;;EXTERNO/EXPRESS;
1;0;1;5019;SHXD84;PIE ANDINO;;;;;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;FULL;;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;;
1;0;1;5020;SHXF22;PIE ANDINO;;;;;;;;;;;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;FULL;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;
2;1;1;5022;SHCY65;PIE ANDINO;FULL;;;;;;;;;;;BARRIDO/MOPA;;;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;;FULL;;;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;BARRIDO/MOPA;;;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;
1;1;0;6020;FLXR77;PIE ANDINO;;FULL;;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;;EXTERNO/EXPRESS;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;;
1;1;0;6021;FLXS32;PIE ANDINO;FULL;;;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;;;
1;0;1;6022;FLXS33;PIE ANDINO;;;;;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;FULL;;BARRIDO/MOPA;;;;;
1;1;0;6023;FLXS38;PIE ANDINO;;FULL;;;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;;;;;;;;
2;1;1;6024;FLXS39;PIE ANDINO;;FULL;;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;;;;;;;;;;BARRIDO/MOPA;;EXTERNO/EXPRESS;BARRIDO/MOPA;;FULL;;;;
2;2;0;6025;FLXS40;PIE ANDINO;;FULL;;;;;;;;;FULL;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;;EXTERNO/EXPRESS;;BARRIDO/MOPA;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;;;
1;0;1;6026;FLXS41;PIE ANDINO;;;;;;;;;;;;;;BARRIDO/MOPA;;FULL;;;;;;;;;;;;;;;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;
1;1;0;6027;LBTS75;PIE ANDINO;;;FULL;;;;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;;BARRIDO/MOPA;;;;BARRIDO/MOPA;;;
1;1;0;6028;LBTS76;PIE ANDINO;FULL;;;;;;;;;;;;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;;;
2;2;0;6029;LBTS77;PIE ANDINO;;;FULL;;;;;;FULL;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;;
0;0;0;6030;LBTS78;PIE ANDINO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BARRIDO/MOPA;;;;;;
1;1;0;6037;LBTS86;PIE ANDINO;;;FULL;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;EXTERNO/EXPRESS;;;;
2;1;1;6039;LBTS88;PIE ANDINO;;FULL;;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;FULL;;BARRIDO/MOPA;;;EXTERNO/EXPRESS;;;BARRIDO/MOPA;;;
1;1;0;6048;LBTS97;PIE ANDINO;;;FULL;;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;;;
1;1;0;6049;LBTS98;PIE ANDINO;;;;;;;;;;;FULL;EXTERNO/EXPRESS;;;BARRIDO/MOPA;;;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;;
2;1;1;6050;LBTS99;PIE ANDINO;;;;;;;;;;;FULL;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;;BARRIDO/MOPA;FULL;BARRIDO/MOPA;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;BARRIDO/MOPA;;;;EXTERNO/EXPRESS;
0;0;0;6051;LBTT10;PIE ANDINO;;;;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;EXTERNO/EXPRESS;;;BARRIDO/MOPA;
2;2;0;6052;LBTT11;PIE ANDINO;;;FULL;;;;;FULL;;;;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;;EXTERNO/EXPRESS;;;;
1;1;0;6053;LBTT12;PIE ANDINO;;;;FULL;;;;;;;;;;;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;EXTERNO/EXPRESS;
2;1;1;6054;LBTT13;PIE ANDINO;;;;;;;;FULL;;;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;FULL;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;
3;3;0;6055;LBTT14;PIE ANDINO;;;FULL;FULL;;;;;;;FULL;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;;;;
1;1;0;6060;LBTT19;PIE ANDINO;;;;;;;;;;;FULL;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;
4;3;1;6061;LBTT20;PIE ANDINO;;;FULL;FULL;;;;;;;FULL;;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;;;;FULL;;;;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;
0;0;0;6063;LBTT22;PIE ANDINO;;;;;;;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;;
1;1;0;6066;LBTT25;PIE ANDINO;;;;;;;;FULL;;;;;;BARRIDO/MOPA;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;EXTERNO/EXPRESS;;;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;;;EXTERNO/EXPRESS;
2;2;0;6068;LCPG32;PIE ANDINO;;;;FULL;FULL;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;EXTERNO/EXPRESS;
0;0;0;6069;LCPG33;PIE ANDINO;;;;;;;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;;;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;;
1;1;0;6077;LCPG41;PIE ANDINO;;;;;FULL;;;;;;;;;;;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;BARRIDO/MOPA;;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;;
2;0;2;6082;LCPG46;PIE ANDINO;;;;;;;;;;;;;;;;;;;;;;FULL;FULL;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;EXTERNO/EXPRESS;
3;3;0;6083;LCPG47;PIE ANDINO;;;FULL;FULL;FULL;;;;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;
1;1;0;6084;LCPG48;PIE ANDINO;;;;;;;;FULL;;;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;;;
1;0;1;6089;LCPW28;PIE ANDINO;;;;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;BARRIDO/MOPA;BARRIDO/MOPA;;EXTERNO/EXPRESS;;;;;FULL;
2;2;0;6090;LCPW29;PIE ANDINO;;;;FULL;FULL;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;;
0;0;0;6091;SHCW69;PIE ANDINO;;;;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;
2;2;0;6092;SHCW74;PIE ANDINO;;;;FULL;FULL;;;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;
1;1;0;6094;SHCW62;PIE ANDINO;;;;;;;;FULL;;;;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;;;
1;1;0;6095;SHCW63;PIE ANDINO;;;;;FULL;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;BARRIDO/MOPA;;BARRIDO/MOPA;;BARRIDO/MOPA;;;BARRIDO/MOPA;;;;;;;;EXTERNO/EXPRESS;
2;0;2;6097;SHCW65;PIE ANDINO;;;;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;FULL;FULL;BARRIDO/MOPA;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;;
1;0;1;6098;SHCW67;PIE ANDINO;;;;;;;;;;;;FULL;;;BARRIDO/MOPA;;;;;;;;;BARRIDO/MOPA;;;;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;;
1;1;0;6099;SHCW68;PIE ANDINO;;;;;FULL;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;;BARRIDO/MOPA;
2;2;0;6100;SHCW70;PIE ANDINO;;;;;;;;FULL;;;FULL;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;BARRIDO/MOPA;;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;;;
2;2;0;6102;SHCW72;PIE ANDINO;;;;FULL;FULL;;;;;;;EXTERNO/EXPRESS;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;;BARRIDO/MOPA;;;;;;;;;
1;0;1;6107;SHCW78;PIE ANDINO;;;;;;;;;;;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;BARRIDO/MOPA;;FULL;;;;;;EXTERNO/EXPRESS;;;;;;
3;1;2;6109;SHCW80;PIE ANDINO;;;;;;;;FULL;;;;FULL;;BARRIDO/MOPA;;BARRIDO/MOPA;;BARRIDO/MOPA;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;;FULL;BARRIDO/MOPA;;EXTERNO/EXPRESS;;;;;
